país;ano;código_iso;população;pib;variação_biocombustível_pct;variação_biocombustível_twh;biocombustível_per_capita;consumo_biocombustível;eletricidade_biocombustível_per_capita;eletricidade_biocombustível;participação_biocombustível_eletricidade;participação_biocombustível_energia;intensidade_carbono_eletricidade;variação_carvão_pct;variação_carvão_twh;carvão_per_capita;consumo_carvão;eletricidade_carvão_per_capita;eletricidade_carvão;variação_produção_carvão_pct;variação_produção_carvão_twh;produção_carvão_per_capita;produção_carvão;participação_carvão_eletricidade;participação_carvão_energia;demanda_eletricidade;geração_eletricidade;participação_eletricidade_energia;variação_consumo_energia_pct;variação_consumo_energia_twh;energia_per_capita;energia_por_pib;variação_combustível_fóssil_pct;variação_combustível_fóssil_twh;eletricidade_fóssil_per_capita;eletricidade_fóssil;energia_fóssil_per_capita;consumo_combustível_fóssil;participação_fóssil_eletricidade;participação_fóssil_energia;variação_gás_pct;variação_gás_twh;consumo_gás;eletricidade_gás_per_capita;eletricidade_gás;energia_gás_per_capita;variação_produção_gás_pct;variação_produção_gás_twh;produção_gás_per_capita;produção_gás;participação_gás_eletricidade;participação_gás_energia;emissões_gases_efeito_estufa;variação_hidrelétrica_pct;variação_hidrelétrica_twh;consumo_hidrelétrica;eletricidade_hidrelétrica_per_capita;eletricidade_hidrelétrica;energia_hidrelétrica_per_capita;participação_hidrelétrica_eletricidade;participação_hidrelétrica_energia;variação_baixo_carbono_pct;variação_baixo_carbono_twh;consumo_baixo_carbono;eletricidade_baixo_carbono_per_capita;eletricidade_baixo_carbono;energia_baixo_carbono_per_capita;participação_baixo_carbono_eletricidade;participação_baixo_carbono_energia;importação_líquida_eletricidade;participação_importação_eletricidade_demanda;variação_nuclear_pct;variação_nuclear_twh;consumo_nuclear;eletricidade_nuclear_per_capita;eletricidade_nuclear;energia_nuclear_per_capita;participação_nuclear_eletricidade;participação_nuclear_energia;variação_petróleo_pct;variação_petróleo_twh;consumo_petróleo;eletricidade_petróleo_per_capita;eletricidade_petróleo;energia_petróleo_per_capita;variação_produção_petróleo_pct;variação_produção_petróleo_twh;produção_petróleo_per_capita;produção_petróleo;participação_petróleo_eletricidade;participação_petróleo_energia;consumo_outras_renováveis;eletricidade_outras_renováveis;eletricidade_outras_renováveis_exceto_biocombustível;variação_outras_renováveis_pct;variação_outras_renováveis_twh;eletricidade_outras_renováveis_per_capita;eletricidade_outras_renováveis_per_capita_exceto_biocombustível;energia_outras_renováveis_per_capita;participação_outras_renováveis_eletricidade;participação_outras_renováveis_eletricidade_exceto_biocombustível;participação_outras_renováveis_energia;eletricidade_per_capita;consumo_energia_primária;variação_renováveis_pct;variação_renováveis_twh;consumo_renováveis;eletricidade_renováveis_per_capita;eletricidade_renováveis;energia_renováveis_per_capita;participação_renováveis_eletricidade;participação_renováveis_energia;variação_solar_pct;variação_solar_twh;consumo_solar;eletricidade_solar_per_capita;eletricidade_solar;energia_solar_per_capita;participação_solar_eletricidade;participação_solar_energia;variação_eólica_pct;variação_eólica_twh;consumo_eólica;eletricidade_eólica_per_capita;eletricidade_eólica;energia_eólica_per_capita;participação_eólica_eletricidade;participação_eólica_energia;energia_renovavel;energia_nao_renovavel;continente
Africa;1900;;138752199.0;;;;;;;;;;;;;;;;;;;48.144;6.68;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;Africa
Africa;1901;;139021447.0;;;;;;;;;;;;;;;;;67.81;4.53;80.634;11.21;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;Africa
Africa;1902;;139489077.0;;;;;;;;;;;;;;;;;49.068;5.5;119.797;16.71;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;Africa
Africa;1903;;139992790.0;;;;;;;;;;;;;;;;;35.697;5.965;161.976;22.675;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;Africa
Africa;1904;;140510536.0;;;;;;;;;;;;;;;;;12.88;2.921;182.165;25.596;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;Africa
Africa;1905;;141042447.0;;;;;;;;;;;;;;;;;15.171;3.883;209.009;29.479;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;Africa
Africa;1906;;141588654.0;;;;;;;;;;;;;;;;;14.187;4.182;237.742;33.662;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;Africa
Africa;1907;;142149308.0;;;;;;;;;;;;;;;;;10.355;3.485;261.324;37.147;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;Africa
Africa;1908;;142724535.0;;;;;;;;;;;;;;;;;3.723;1.383;269.959;38.53;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;Africa
Africa;1909;;143305202.0;;;;;;;;;;;;;;;;;14.77;5.691;308.577;44.221;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;Africa
